authors,title,description,categories,pageCount,language,publishedDate,averageRating
['George Orwell'],Animal Farm [Annotated],"Animal Farm is an allegorical novella reflecting events leading up to the Russian Revolution of 1917 and then on into the Stalinist era of the Soviet Union. Orwell, a democratic socialist, was a critic of Joseph Stalin and hostile to Moscow-directed Stalinism. In the book, Old Major, the old boar on the Manor Farm, summons the animals on the farm together for a meeting, during which he refers to humans as ""enemies"" and teaches the animals a revolutionary song called ""Beasts of England"". When Major dies, two young pigs, Snowball and Napoleon, assume command and consider it a duty to prepare for the Rebellion. The animals revolt, driving the drunken, irresponsible farmer Mr Jones, as well as Mrs Jones and the other human caretakers and employees, off the farm, renaming it ""Animal Farm"". They adopt the Seven Commandments of Animalism, the most important of which is, ""All animals are equal"". The original title was Animal Farm: A Fairy Story; U.S. publishers dropped the subtitle when it was published in 1946, and only one of the translations during Orwell's lifetime kept it.",,120.0,en,2021-03-27,
['George Woodcock'],Letter to the Past,,['Anarchists'],329.0,en,1982,
['George Grenville Benedict'],A Short History of the 14th Vermont Reg't,,['United States'],97.0,en,1887,
['George Orwell'],Keep the Aspidistra Flying,"London 1934. Gordon Comstock, copywriter for the The Queen of Sheba Toilet Requisites embarks on a new life as a poetry-writing bookseller with diastrous consequences.",['Fiction'],286.0,en,2000-10-26,3.0
"['George Orwell', 'William J. West']",The Lost Wrintings,This is a collection of Orwell's writings while he was a producer of programs for the BBC from 1941 through 1943.,"['Authors, English']",339.0,en,1988,
"[""Great Britain. Court of King's Bench"", 'William Mawdesley Best', 'George James Philip Smith']",Reports of Cases Argued and Determined in the Court of Queen's Bench,,"['Law reports, digests, etc']",,en,1868,
['George Orwell'],Animal Farm and 1984 Nineteen Eighty-Four,Two modern classics in one volume.,,528.0,en,2021-01-07,
"['Josiah Howard Temple', 'George Sheldon']","A History of the Town of Northfield, Massachusetts",,['Digital images'],680.0,en,1875,
['George Benson Kuykendall'],History of the Kuykendall Family Since Its Settlement in Dutch New York in 1646,,,704.0,en,1919,
['George Sher'],A Wild West of the Mind,"Can unexpressed thoughts be morally wrong? Are people subject to moral condemnation not only for their malicious, biased, and cruel actions, but also for their private malice, biased beliefs, and ugly fantasies? Although many would answer ""yes,"" George Sher argues in A Wild West of the Mind that none of the main approaches to morality support this view and that to accept it would be to relinquish an essential aspect of our mental freedom. To preserve that freedom, we must allow our beliefs to follow the evidence wherever it leads and must give our private feelings, attitudes, and fantasies free rein. As so understood, the realm of the purely mental is a morality-free zone, one within which no thoughts or attitudes are either forbidden or required. Even when our beliefs are irrational or repugnant and our desires reflect badly on our character, it is never morally wrong for us to have them. A Wild West of the Mind advances a provocative thesis of normative ethics and offers a powerful defense of freedom of mind. Broad in scope and tightly argued, the book will have much to offer philosophers working in ethics, free will, and epistemology.",['Philosophy'],135.0,en,2021-05-11,
['George Watson'],Heresies and Heretics,"In this enjoyably iconoclastic book, George Watson discusses some of the great heresies of the twentieth century, and the cultural heretics who espoused them, often with surprising results. Watson provides us with examples of 'true', original heretics, many of whom he has met and taught: from Sir Arthur Quiller-Couch, who asserted that his study of the remote past had made a radical of him, rather than any influence of modernism, to Douglas Adams, whom Watson knew as an undergraduate. Watson forces us toquestion various long-cherished political and intellectual assumptions in his witty and conversational style. Is snobbery really such a bad thing? Have we ignored the links between socialism and genocide? He touches entertainingly upon subjects as diverse as literary theory (experimental fiction is often the last resort of those who have nothing to say), and the unoriginal conformism of teenage Marxists (incapable of actually reading Marx, as he is too boring). This is a work which will delight any reader seeking a uniquely personal perspective on the culture, history, and personalities of the twentieth century.",['Religion'],200.0,en,2013-03-28,
['George Orwell'],Our Job is to Make Life Worth Living,,"['Authors, English']",553.0,en,1998,
['Arthur George Hill'],Tourist's Guide to the County of Cambridge,,['Cambridgeshire (England)'],104.0,en,1892,
['Augustine George Hibbard'],"History of the Town of Goshen, Connecticut",,['Connecticut'],602.0,en,1897,
['George Teasdale Teasdale-Buckell'],The Complete English Wing Shot,,['Game and game-birds'],382.0,en,1907,
"['George Franklin Marvin', 'William Theophilus Rogers Marvin']","Descendants of Reinold and Matthew Marvin of Hartford, Ct., 1638 and 1635",,,658.0,en,1904,
['George Teasdale Teasdale-Buckell'],The Complete Shot,,['Game'],382.0,en,1907,
"['George Orwell', 'Ian Angus', 'Sheila Davison']","Keeping Our Little Corner Clean, 1941-1942","Orwell continued the BBC program ""Voice"" and developed an ""open university"" with broadcasts by distinguished speakers such as E.M. Forster, T.S. Eliot and Joseph Needham. ""From the Trade Paperback edition.",['Literary Collections'],380.0,en,1998,
['George Orwell'],"Smothered Under Journalism, 1946","Journalism took a heavy toll on Orwell in the first months of 1946. Despite this unremitting pressure, he produced a major sequence of articles on ""The Intellectual Revolt,"" and wrote one of his finest short essays, ""Some Thoughts on the Common Toad."" He wrote two radio plays for the BBC, and a pamphlet for the British Council, all of which are printed here for the first time. Orwell renewed contact with Yvonne Davet, he corresponded with Ihor Szewczenko, he tried to get Victor Serge's memoirs published in English, and he attempted to expose Soviet responsibility for the massacre of the Poles by arranging for a translation of Joseph Czapski's Souvenirs de Starobielsk to be published.",['Literary Collections'],547.0,en,1998,
['George Orwell'],Two Wasted Years,,"['Authors, English']",388.0,en,1998,
['George Orwell'],"All Propaganda is Lies, 1941-1942","On August 18, 1941, George Orwell joined the BBC's Overseas Service. After a crash training course, he was appointed a Talks Producer responsible for features, talks, and commentaries on the war, to be broadcast to India. He wrote at least 220 news commentaries broadcast to India, Malaya, and Indonesia, of which Orwell read 56. This volume shows that formal censorship was not as great a problem as has been supposed—although it obviously occurred, and Orwell's brushes with censors are shown in detail.",['Literary Collections'],544.0,en,1998,
['George Orwell'],"Facing Unpleasant Facts, 1937-1939","These years saw the publication of The Road to Wigan Pier, Homage to Catalonia, and Coming Up for Air. The most important document that has come to light regarding Orwell's Spanish experiences is the deposition charging him and Eileen with espionage and high treason, a charge unknown to them. This is fully analysed and can now be read in the context of the disputes that then divided the Left, well illustrated by the letters and documents printed here, notably his bitter response to Authors Take Sides on the Spanish War. The correspondence includes that with Yvonne Davet, who undertook the Translation of Orwell's books into French; George Kopp, Orwell's commandent in Spain; and a number of Eileen's letters. Orwell's Diary of Events Leading Up to the War' (2 July - 1 September 1939); his Domestic Diary (9 August 1938 - 29 April 1940), which records in detail his attempts at running a smallholding; his abstracts from Daily Worker and News Chronical reports on the Spanish Civil War; and his Marrakech Notebook with illustrations are reproduced. Many letters not previously published are included, and there is a large number of reviews. This volume also includes a sequence of letters that throws a completely new light on Orwell's personal relationships.",['History'],483.0,en,1998,
['George Orwell'],"A Patriot After All, 1940-1941","For the twenty-month period of this volume, there are reproduced 123 book, 38 theatre, and 43 film reviews. Additionally, Inside the Whale, Orwell's first collection of essays, and The Lion and the Unicorn: Socialism and the English Genius are reprinted here. Throughout this period Orwell kept a wartime diary, and its entries are printed chronologically with his reviews, essays, and letters. It was in 1941 that Orwell began his series of ""London Letters"" for Partisan Review, and the volume also includes Orwell's lecture notes for instructing members of his Home Guard platoon.",['Literary Collections'],575.0,en,1998,
['George Orwell'],"I Belong to the Left, 1945","On March 29, 1945 Orwell's wife Eileen died at age 39, and her last moving letters to her husband are printed here. Less than six months later, the novel that she might be said to have nurtured and which gave Orwell world-wide fame, Animal Farm, was published. ""Politics and the English Language,"" one of Orwell's most important essays, was immediately reprinted for journalists of The Observer and News of the World as a guide to good writing. Essays and articles he wrote for The Observer, Manchester Evening News, and Evening Standard are reprinted here, as well as correspondence that shows he had begun writing 1984.",['Literary Criticism'],502.0,en,1998,
['George Edward Cokayne'],"The Complete Peerage of England, Scotland, Ireland, Great Britain and the United Kingdom: Canonteign to Cutts",,['Genealogy'],,en,1913,
['Charles George Harper'],"""The Autocar"" Road Book: East Anglia and East Midlands",,['Automobiles'],,en,1912,
['Robert George Windsor-Clive baron Windsor 14th'],John Constable,,['Painters'],306.0,en,1903,
"['Walworth Howland Roberts', 'George Henry Wallace', 'Arthur Harington Graham']",The Common Law and Statutory Duty and Liability of Employers,,"[""Employers' liability""]",1134.0,en,1908,
['Robert George Windsor-Clive Baron Windsor'],"John Constable, R.A.",,['Landscape painters'],231.0,en,1903,
['George Kuhn Clarke'],"Genealogy of the Descendants of Nathaniel Clarke of Newbury, Mass",,['Genealogy'],216.0,en,1885,
['George Dahl'],The Materials for the History of Dor,,,,en,1913,
"['John George Bartholomew', 'John Murdoch Harper']",The Pocket Atlas and Gazetteer of the Dominion of Canada,,['Canada'],276.0,en,1890,
['Robert George Windsor-Clive earl of Plymouth'],"John Constable, R. A.",,['Painters'],231.0,en,1903,
['George Washington Bacon'],Tourists' guide and handbook to England and Wales,,,,en,1885,
"['George Orwell', 'Tosco R. Fyvel']",Unpublished notebooks,,,62.0,en,1950,
['George C. Chisholm'],Longman's Gazetteer of the World,,['Gazetteers'],1788.0,en,1920,
['George Bradshaw'],Bradshaw's shilling handbook [afterw.] Bradshaw's illustrated tourists' handbook [afterw.] Bradshaw's handbook for tourists,,,2147.0,en,1858,
['George Miller'],The Prentice Hall Reader,,['College readers'],592.0,en,1989,
['George Wickes'],Masters of Modern British Fiction,,['English fiction'],560.0,en,1963,
['George Anastaplo'],The American Moralist,"The essays collected here, somewhat autobiographical in their effect, range from a discussion of the despair of the Cold War and Vietnam in 1966 to reflections on the euphoria over the ending of the Cold War in Eastern Europe in 1990. The opening essays are general in nature: exploring the foundation and limitation of sound morality; examining what is ""American"" about American morality; measuring all by the yardsticks provided by classical and modern philosophers. Anastaplo's overriding concern here is to show how one can be moral without being either cranky or moralistic. He then turns his attention to the issues of the day: the first amendment, religious liberty, women and the law, gun control, medicine, capital punishment, local politics, civil disobedience.",['Philosophy'],624.0,en,1992,
['George A. Panichas'],The Politics of Twentieth-century Novelists,,['Fiction'],375.0,en,1971,
['George Watson'],The Lost Literature of Socialism,"This controversial study of socialist literature, the most significant since 1945, considers the forgotten texts of socialism of the 19th and early 20th centuries, and reveals how socialism was often linked to conservative, racist and genocidal ideas.",['Literary Criticism'],112.0,en,1998,
['George Watson'],Politics and Literature in Modern Britain,,['English literature'],190.0,en,1977,
['George Percy Hamnall Boswell'],Geology of the British Isles,,['Channel Islands'],354.0,en,1918,
['George Alfred Carthew'],The Hundred of Launditch and Deanery of Brisley: Corrections and continuations of and additions to Blomefield's history ... to the present time,,['Brisley (England)'],,en,1877,
['Charles George Harper'],The Norwich Road,,['England'],323.0,en,1901,
['George Valentine Cox'],Recollections of Oxford,,,437.0,en,1868,
['George Henry Perkins'],Insects of the Year,,['Agriculture'],16.0,en,1897,
['George Sheldon'],"A History of Deerfield, Massachusetts",,['Deerfield (Mass.)'],,en,1896,
['James George Frazer'],"Adonis, Attis, Osiris",,['Adonis (Greek deity)'],339.0,en,1906,
['Saint George Jackson Mivart'],On the Genesis of Species,,['Evolution'],392.0,en,1871,
['George Thomas Orlando Bridgeman (Hon.)'],The History of the Church & Manor of Wigan in the County of Lancaster,,['Wigan (England)'],,en,1889,
['George Bradshaw'],Bradshaw's itinerary of Great Britain,,,2541.0,en,1856,
['James George Frazer'],"The Golden Bough: Adonis, Attis, Osiris",,['Magic'],,en,1914,
['Sir Arthur George Doughty'],Canada and Its Provinces,,['Canada'],392.0,en,1913,
['George Alfred Carthew'],The Hundred of Launditch and Deanery of Brisley: Tenants in chief. Mesne tenants and sub-tenants,,['Brisley (England)'],,en,1877,
['George Chalmers'],"Caledonia, Or, A Historical and Topographical Account of North Britain from the Most Ancient to the Present Times",,['Scotland'],,en,1894,
['George Franklin Cram'],Army and Navy Edition of Cram's Quick Reference Atlas and Gazetteer of the World ...,,['Atlases'],155.0,en,1907,
['George Otto Trevelyan'],Cawnpore,,['Cawnpore (India)'],305.0,en,1866,
['Sir Henry St. George'],The Visitation of Cambridge Made in A0 1575,,['Cambridge (England)'],204.0,en,1897,
['Sir James George Frazer'],"The Golden Bough: pt. IV. Adonis, Attis, Osiris. 1922",,['Magic'],,en,1919,
['George Cecil Fry'],A Text-book of Geography,,['Geography'],406.0,en,1908,
['George Franklin Cram'],Cram's Quick Reference Atlas and Gazetteer of the World,,['Atlases'],218.0,en,1906,
['James George Frazer'],The Golden Bough,,['Adonis'],,en,1914,
['Adolphus George Charles Liddell'],Notes from the Life of an Ordinary Mortal,,['Lawyers'],370.0,en,1911,
['George Hiram Greeley'],Genealogy of the Greely-Greeley Family,,,911.0,en,1905,5.0
['George Biddell Airy'],On Sound and Atmospheric Vibrations,,['Atmospheric turbulence'],263.0,en,1868,
['St. George Jackson Mivart'],On the genesis of species,,,,en,1871,
['George Davys Ham'],Ham's revenue and mercantile vade-mecum,,,,en,1876,
['Sir George Biddell Airy'],"On Sounds of Atmospheric Vibrations, with the Mathematical Elements of Music",,,263.0,en,1868,
['George Macaulay Trevelyan'],Garibaldi and the Making of Italy,,"['Garibaldi, Giuseppe']",390.0,en,1911,
"[""Frederic George D'Aeth""]",Liverpool Social Workers' Handbook ...,,['Charities'],223.0,en,1913,
['George Hill'],Plantation Papers,,['Ulster plantation'],209.0,en,1889,
"['Scotland. High Court of Justiciary', 'Edwin Adam', 'Francis Albert Umpherston', 'Alexander Taylor', 'George Hart', 'David Oswald Dykes', 'Alexander Brown']",Reports of Cases Before the High Court of Justiciary in Scotland,,"['Law reports, digests, etc']",,en,1909,
['George Sears Greene'],The Greenes of Rhode Island,"This work embraces the ancestors & descendants of John Greene, surgeon (1590-1659) who married Joanne Tattershall in 1619 and immigrated from Salisbury, County Wilts, England to Boston Massachusetts in 1635. He settled in Warwick Rhode Island. He married three times due to the unexpected death of his 1st and 2nd wife. He had a long and active political life, holding office almost continuously throughout his life. Descendants primarily lived in the eastern United States.",,892.0,en,1903,
